"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "JavaScript", "PostCSS", "comment", "blank", "total"
"f:\e-booi-an-ebook-platform\frontend\features\admin\types\admin.types.ts", "TypeScript", 0, 0, 210, 0, 0, 0, 0, 0, 1, 64, 275
"f:\e-booi-an-ebook-platform\frontend\features\auth\api\auth.api.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 14, 76
"f:\e-booi-an-ebook-platform\frontend\features\auth\components\login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 248, 0, 0, 0, 2, 38, 288
"f:\e-booi-an-ebook-platform\frontend\features\auth\components\register-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 360, 0, 0, 0, 4, 34, 398
"f:\e-booi-an-ebook-platform\frontend\features\auth\hooks\auth.hooks.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 15, 69
"f:\e-booi-an-ebook-platform\frontend\features\auth\schemas\auth.schema.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"f:\e-booi-an-ebook-platform\frontend\features\auth\types\api-error.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"f:\e-booi-an-ebook-platform\frontend\features\auth\types\auth.types.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"f:\e-booi-an-ebook-platform\frontend\features\books\api\book.api.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 14, 57
"f:\e-booi-an-ebook-platform\frontend\features\books\components\book-details\book-gallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 1, 14, 119
"f:\e-booi-an-ebook-platform\frontend\features\books\components\book-details\book-info.tsx", "TypeScript JSX", 0, 0, 0, 0, 218, 0, 0, 0, 7, 24, 249
"f:\e-booi-an-ebook-platform\frontend\features\books\components\book-details\book-tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 9, 61
"f:\e-booi-an-ebook-platform\frontend\features\books\components\book-details\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"f:\e-booi-an-ebook-platform\frontend\features\books\components\book-details\related-books.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"f:\e-booi-an-ebook-platform\frontend\features\books\components\book-details\review-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 16, 133
"f:\e-booi-an-ebook-platform\frontend\features\books\components\books-filters.tsx", "TypeScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 3, 21, 191
"f:\e-booi-an-ebook-platform\frontend\features\books\components\books-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 24, 200
"f:\e-booi-an-ebook-platform\frontend\features\books\components\books-hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"f:\e-booi-an-ebook-platform\frontend\features\books\components\books-toolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 5, 8, 103
"f:\e-booi-an-ebook-platform\frontend\features\books\components\mobile-filters-sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 9, 63
"f:\e-booi-an-ebook-platform\frontend\features\books\components\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 11, 84
"f:\e-booi-an-ebook-platform\frontend\features\books\hooks\use-book.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"f:\e-booi-an-ebook-platform\frontend\features\books\types\book.types.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 1, 24, 84
"f:\e-booi-an-ebook-platform\frontend\features\cart\api\cart.api.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 1, 8, 44
"f:\e-booi-an-ebook-platform\frontend\features\cart\components\cart-item.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 16, 134
"f:\e-booi-an-ebook-platform\frontend\features\cart\components\empty-cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"f:\e-booi-an-ebook-platform\frontend\features\cart\components\order-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 2, 19, 169
"f:\e-booi-an-ebook-platform\frontend\features\cart\hooks\use-cart.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 20, 111
"f:\e-booi-an-ebook-platform\frontend\features\cart\types\cart.types.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"f:\e-booi-an-ebook-platform\frontend\features\checkout\api\checkout.api.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"f:\e-booi-an-ebook-platform\frontend\features\checkout\components\checkout-items-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 9, 74
"f:\e-booi-an-ebook-platform\frontend\features\checkout\components\empty-checkout.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"f:\e-booi-an-ebook-platform\frontend\features\checkout\components\order-total-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 13, 101
"f:\e-booi-an-ebook-platform\frontend\features\checkout\components\payment-methods.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 2, 10, 102
"f:\e-booi-an-ebook-platform\frontend\features\checkout\components\shipping-address-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 0, 11, 100
"f:\e-booi-an-ebook-platform\frontend\features\checkout\hooks\use-checkout.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\e-booi-an-ebook-platform\frontend\features\checkout\types\checkout.types.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 3, 10, 69
"f:\e-booi-an-ebook-platform\frontend\features\coupon\api\coupon.api.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\e-booi-an-ebook-platform\frontend\features\coupon\hooks\use-coupon.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"f:\e-booi-an-ebook-platform\frontend\features\coupon\types\coupon.types.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"f:\e-booi-an-ebook-platform\frontend\features\home\api\home.api.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"f:\e-booi-an-ebook-platform\frontend\features\home\components\book-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 174, 0, 0, 0, 3, 31, 208
